Family,Product-Type,Steel,Carbon,Hardness,Temper_rolling,Condition,Formability,Strength,Non-ageing,Surface-finish,Enamelability,Bc,Bendability,Delamination,Weldability,Coating,Lubrication,Adhesion,Quality,Location,Surface-defects,Pitted,Passivation,Ferrous,Stainless,Resilience,Corrosion,Fabrication
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.2,610.0,4880,,0,,3
,F,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,0.6,1220.0,762,,0,,3
,D,,,,,,,,,,,,,,,,,,,,COIL,0.301,610.0,0,,0,,3
,E,,,,Y,,,,,,,,,,,,,,,,SHEET,1.0,610.0,762,,0,,U
,E,,,,,B,,,,,,,,,,,,,,,SHEET,1.6,500.0,762,,0,,3
,G,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.301,515.0,610,Y,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,1.2,335.0,611,,0,,5
,,,,,,,,,,,,,,,,,,,,,SHEET,0.8,1320.0,762,,0,,2
,E,,,,,,,,,,,,,,,,,,,,COIL,0.4,20.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,COIL,0.6,250.0,0,,0,,5
,G,,,,,,,,,,,,,,,,,,,,COIL,0.801,610.0,0,,600,,3
,E,,,,Y,M,,,,,,,,,,,,,,,COIL,3.5,610.0,0,,600,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,762,Y,0,,3
,E,,,,,B,,,,,,,,,,,,,,,COIL,0.799,1300.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.5,1130.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.6,609.0,612,,0,,3
P,,,,,,,,,,,,,,,,,,,,,SHEET,1.6,609.9,4880,,0,,2
,G,,,,,,,,,,,,,,,,,,,,COIL,0.601,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,2.0,1250.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,3.2,1320.0,4880,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,F,,,Y,,,,,,,,,,,,,,,,,SHEET,0.6,610.0,762,,0,,3
,,2.0,,,,,,,,,,,,,,,,,,,SHEET,1.599,610.0,1,,0,,2
,G,,,,,,,,,,,,,,,,,,,,COIL,0.8,609.9,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.6,610.0,4880,,0,,3
,,,,,Y,M,,,,,,,,,,,,,,,COIL,3.2,640.0,0,,600,,3
,,,,,,B,,,,,,,,,,,,,,,SHEET,0.8,1320.0,4880,,0,,2
,E,,,,,,,,,,Y,,,,,,,,,,COIL,1.6,610.0,0,,0,3.0,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,1.6,1090.0,0,,0,,2
,,,,,,,,,C,,,,,,,,,,,,COIL,0.5,610.0,0,,0,,5
,E,,,,,,,,,,,,,,,,,,,,COIL,1.201,1320.0,0,,0,,U
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.3,610.0,762,Y,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.7,1320.1,4880,,0,,3
,E,,,,,,Y,,,,,,,,,,,,,,SHEET,0.7,610.0,4880,,0,,3
,,,,,Y,M,,,,,,,,,,,Y,,,,COIL,1.5,640.0,0,,0,,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,0.599,609.9,4880,,0,,3
,,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.8,610.0,762,,0,,2
,,,,,,,,,,,,,,Y,,,,,,,SHEET,1.6,610.0,761,,0,,5
,,,,,,B,,,,,,,,,,,,,,,COIL,0.6,610.0,0,,0,,5
,,,,,,,Y,,,,,,,,,,,,,,SHEET,1.599,610.0,4880,,0,,2
,,,,,,B,Y,,,,,,,,,,,,,,SHEET,2.0,610.0,612,,0,,2
,,,,,,,,,,,,,,,,,,,,,SHEET,1.0,610.0,4880,,0,,3
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.999,610.0,762,,0,,3
,F,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.699,610.0,761,,0,,3
,,,,Y,,,,,,,,,,,,,,,,,COIL,0.5,25.0,0,,0,,3
,D,,,,,,Y,,,,,,,,,,,,,,SHEET,0.7,610.0,762,,0,,3
,D,,,,,B,,,,,,,,,,,,,,,COIL,1.6,610.0,0,,0,,3
,,,,,,,,,,P,,,,,,,,,,,SHEET,0.5,1220.0,4880,,0,,5
,E,,,Y,,B,,,,,,,,,,,,,,,SHEET,0.7,1300.0,4880,,0,,3
,E,,,,,B,,,,,,,,,,,,,,,SHEET,0.7,609.9,762,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,0.7,1320.0,0,,0,,3
,G,,,,,B,,,,,,,,,,,,,,,COIL,0.8,50.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,0.6,1220.0,761,,0,,5
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,4880,Y,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.0,1100.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.6,1090.0,0,,0,,2
,G,,,,,,,,,,,,,,,,,,,,COIL,3.2,610.0,0,Y,0,,U
,D,,,,,,,,,,,,,,,,,,,,SHEET,0.599,520.0,4880,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.25,20.0,0,,0,,3
,,,,,,,,,,,,,,,,V,,,,,COIL,0.8,75.0,0,,0,,1
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,4880,Y,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,SHEET,0.7,1300.0,4880,,0,,3
,D,,,,,B,,,,,,,,,,,,,,,COIL,0.699,1320.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.0,1130.0,0,,0,,3
,G,,,,,,,,,,,,,,,,Y,,,,COIL,0.451,1320.0,0,,0,,3
,,,,,,,,,,,,,,Y,,,,,,,COIL,1.6,1220.0,0,,0,,5
,G,,,,,,,,,,,,,,,,,,,,COIL,1.599,1275.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,1.6,610.0,4880,,0,,5
,,,,,,,,,,,,,,,,,,,,,COIL,1.599,610.0,0,,0,,2
,,,,,,B,Y,,,,,,,,,,,,,,SHEET,2.0,610.0,4170,,0,,2
,E,,,,,,,,,,,,,,,,,,,,COIL,1.2,1220.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,1.09,610.0,0,,0,,3
,,,,,,B,Y,,,,,,,,,,,,,,SHEET,1.599,1300.0,762,,0,,2
,,2.0,,,,,,,,,,,,,,,,,,,COIL,1.201,1525.0,0,,0,,2
,,,,,Y,,,,,,,,,,,,,,,,COIL,1.1,900.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,2.0,1525.0,612,,0,,2
,E,,,,,M,,,,,,,,,,,,,,,COIL,3.5,610.0,0,,600,,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,0.6,610.0,0,,0,,3
,,,,,,,,,,P,,,,,,,,,,,COIL,1.6,610.0,0,,0,,5
,G,,,Y,,,,,,,,,,,,,,,,,SHEET,2.5,610.0,4880,,0,,3
,G,,,,,,,,,,,,,,,,Y,,,,COIL,0.6,50.0,0,,0,,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,0.699,1320.0,760,N,0,,3
,G,,,,,,,,,,Y,,,,,,,,,,COIL,0.4,58.0,0,,0,,3
,E,,,,,B,,,,,,,,,,,,,,,COIL,3.2,609.9,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.7,1320.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,1.6,1250.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.601,830.0,881,,0,,2
,G,,,,Y,,,,,,,,,,,,,,,,COIL,0.9,1320.0,0,,0,,3
,,2.0,,,,,,,,,,,,,,,,,,,COIL,2.0,1525.0,0,,0,,2
,F,,,Y,,B,,,,,,,,,,,,,,,SHEET,0.699,520.0,762,,0,,3
,G,,,,,,,,,,Y,,,,,,,,,,COIL,0.8,710.1,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.6,610.0,0,,0,,3
,,,,,Y,,,,,,,,,,,,,,,,COIL,1.6,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.6,610.0,4880,,0,,3
,E,,,,,B,Y,,,,,,,,,,,,,,SHEET,1.6,1320.0,1000,,0,,3
,G,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.7,610.0,4880,,0,,3
,D,,,,,,,,,,,,,,,,,,,,COIL,0.699,1320.0,0,N,0,,3
,G,,,,,M,,,,,,,,,,,Y,,,,COIL,3.201,1000.0,0,,600,,U
,,,,,,B,,,,,,,,Y,,,,,,,SHEET,0.6,1220.0,4880,,0,,5
,E,,,,,,,,,,,,,,,,,,,,COIL,1.0,75.0,0,,0,,3
,,,,,,,,,,P,,,,,,,,,,,COIL,1.6,1220.0,0,,0,,5
,E,,,,,B,,,,,,,,,,,,,,,COIL,3.2,609.9,0,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,0.7,1320.0,0,,0,,3
,G,,,,,B,,,,,,,,,,,,,,,COIL,2.5,609.9,0,,0,,3
,F,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.699,609.9,0,,0,,3
,E,,,,,B,Y,,,,,,,,,,,,,,SHEET,3.2,610.0,1000,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.9,966.1,0,,0,,3
,E,,,,Y,,,,,,,,,,,,,,,,COIL,1.001,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.601,375.0,612,,0,,3
,,,,,,,,,C,,,,,,,,,,,,COIL,0.8,50.0,0,,0,,5
,,,,,,,,,,,,,,,,,,,,,COIL,0.6,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,3.2,1320.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,0.6,610.0,4880,,0,,5
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.999,1220.0,762,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,1.6,50.0,0,,0,,2
,G,,,,,,,,,,,,,,,,,,,,SHEET,1.2,335.0,4170,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.2,1250.0,4880,N,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,2.5,1274.9,0,,600,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,,2.0,,,,,,,,,,,,,,,,,,,SHEET,0.8,1320.0,1,,0,,2
,G,,,,,,,,,,,,,,,,,,,,COIL,3.2,609.9,0,,0,,U
,,,,,,,,,,,,,,Y,,,,,,,COIL,1.6,50.0,0,,0,,5
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,4880,Y,0,,3
,E,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,1.599,1300.0,4880,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,0.7,610.0,4880,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,0.6,1320.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.301,610.0,4880,Y,0,,3
,F,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.6,1220.0,762,,0,,3
,,,,,,,,,,,,,Y,,,,,,,,COIL,0.8,915.1,0,,0,,1
,G,,,,,M,,,,,,,,,,,,,,,COIL,4.0,1000.0,0,,600,,U
,,,,,Y,M,,,,,,,,,,,,,,,COIL,1.5,640.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,1.2,335.0,612,,0,,5
,F,,,Y,,,Y,,,,,,,,,,,,,,SHEET,0.6,520.0,4880,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,1.6,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,3.2,1320.0,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.4,20.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,0.3,610.0,4880,Y,0,,3
,F,,,Y,,B,,,,,,,,,,,,,,,SHEET,0.6,610.0,4880,,0,,3
,F,,,Y,,,Y,,,,,,,,,,,,,,SHEET,0.699,520.0,4880,,0,,3
,D,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.3,610.0,762,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,0.699,610.0,0,,0,3.0,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,3.2,610.0,762,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.6,1250.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,1.6,1320.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.3,1320.0,762,Y,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,762,N,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.901,966.1,0,,0,,3
,E,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.3,595.0,4880,,0,,3
,F,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.6,1220.0,4880,,0,,3
,F,,,Y,,,Y,,,,,,,,,,,,,,SHEET,0.699,609.9,4880,,0,,3
,,,,,,M,,,,,,,,,,,,,,,SHEET,2.0,1000.0,4880,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,1.0,610.0,4880,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,3.2,60.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,1.0,900.0,0,,0,,3
,D,,,,,,,,,,,,,,,,,,,,COIL,0.7,1320.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,1.6,1320.0,0,,0,3.0,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,1.6,610.0,762,,0,,3
,,,,,,M,,,,,,,,,,,Y,,,,COIL,2.3,900.0,0,,500,,3
,,,,,Y,,,,,,,,,,,,,,,,SHEET,0.8,1300.0,762,,0,,2
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.301,1320.0,4880,Y,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,0.601,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,3.2,1320.0,762,,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,1.3,1090.0,0,,0,,2
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.699,520.0,4880,,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,SHEET,0.9,610.0,1220,,0,,2
,E,,,,Y,,,,,,,,,,,,,,,,SHEET,3.2,1300.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.399,609.9,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.599,610.0,761,,0,,2
,E,,,,,,,,,,,,,,,,,,,,COIL,0.699,610.0,0,N,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.7,1220.0,0,,0,,3
,E,,,,Y,,,,,,,,,,,,,,,,COIL,0.699,1320.0,0,,0,,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,0.599,610.0,761,,0,,3
,F,,,Y,,,,,,,,,,,,,,,,,SHEET,0.699,610.0,400,,0,,3
,D,,,,,,,,,,,,,,,,,,,,SHEET,1.6,1320.0,612,,0,,3
,,,,,,,,,C,,,,,,,,,,,,SHEET,0.5,609.9,612,,0,,5
,D,,,,,B,,,,,,,,,,,,,,,COIL,0.301,1320.0,0,,0,,3
,,,,,,M,,,,,,,,,,,,,,,COIL,3.2,640.0,0,,500,,3
,F,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,0.6,610.0,762,,0,,3
,,,,,,,,,,,,,,Y,,,,,,,COIL,0.6,249.9,0,,0,,5
,E,,,,,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,E,,,Y,,,Y,,,,,,,,,,,,,,SHEET,3.2,1300.0,762,,0,,3
,E,,,,,,Y,,,,,,,,,,,,,,SHEET,1.599,1320.0,762,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,0.8,609.9,0,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,1.9,1135.0,0,,600,,3
,,1.0,,,,,,,,,,,,,,,,,,,COIL,0.699,609.9,0,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,COIL,0.699,610.0,0,,0,,3
,,,,,,,Y,,,,,,,,,,,,,,SHEET,0.8,1320.0,762,,0,,2
,E,,,,,,,,,,,,,,,,,,,,COIL,0.901,966.0,0,,0,,3
,G,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.7,610.0,762,,0,,3
,E,,,,,,,,,,,,,,,,,,,,COIL,0.8,75.0,0,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,SHEET,0.7,1320.0,762,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,0.601,1250.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,0.799,609.0,0,,0,,3
,,,,Y,,,,,,,,,,,,,,,,,SHEET,1.0,610.0,4880,,0,,3
,E,,,Y,,,,,,,Y,,,,,,,,,,COIL,0.6,20.0,0,,0,,3
,,,,,,,,,,,,,,,,,Y,,,,COIL,0.6,900.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.0,610.0,762,,0,,3
,,,,,,,,,,,,,,Y,,,,,,,COIL,0.5,250.0,0,,0,,5
,,,,,,,,,C,,,,,,,,,,,,COIL,0.6,50.0,0,,0,,5
,G,,,Y,,,,,,,,,,,,,,,,,SHEET,2.5,1274.9,762,,0,,3
,G,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,0.801,255.1,270,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.6,1500.0,4170,,0,,2
,,,,,,B,,,,,,,,,,,,,,,SHEET,0.8,610.0,4880,,0,,2
,E,,,,,,,,,,,,,,,,,,,,COIL,0.6,20.0,0,,0,,3
,G,,,,,,,,,,,,,,,,Y,,,,COIL,0.7,1320.0,0,,0,,3
,,,,,,,,,C,,,,,,,,,,,,COIL,1.6,610.0,0,,0,,5
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.7,1220.0,4880,,0,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,0.3,1220.0,762,,0,,U
,G,,,,,,,,,,,,,,,,Y,,,,COIL,3.2,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.601,610.0,762,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,COIL,0.321,610.0,0,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,COIL,0.601,1220.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,0.699,610.0,0,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,3.2,150.0,4880,,0,,3
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.7,1220.0,762,,0,,3
,,,,,,,,,C,,,,,,,,,,,,COIL,0.6,250.0,0,,0,,5
,G,,,,,,,,,,,,,,,,,,,,COIL,3.2,1220.0,0,Y,0,,U
,,,,Y,,,,,,,,,,,,,,,,,SHEET,0.8,1320.0,762,,0,,2
,,,,,,,,,,,,,,,,,,,,,COIL,0.8,609.9,0,,0,,1
,F,,,,,B,Y,,,,Y,,,,,,,,,,SHEET,1.2,610.0,4170,,0,,3
,F,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.699,1320.0,761,,0,,3
,,,,,,B,Y,,,,,,,,,,,,,,SHEET,0.8,1320.0,4880,,0,,2
,E,,,Y,,,,,,,,,,,,,,,,,SHEET,3.2,150.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,SHEET,1.299,1050.0,1220,,0,,2
,E,,,Y,,,Y,,,,,,,,,,,,,,SHEET,3.2,1300.0,4880,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.6,375.0,4880,,0,,3
,G,,,Y,,B,Y,,,,,,,,,,,,,,SHEET,0.7,610.0,762,,0,,3
,,,,Y,,,,,,,,,,,,,,,,,COIL,1.2,1220.0,0,,0,,3
,,,,,,,,,,,,,,,,,,,,,COIL,1.0,75.0,0,,0,,1
,,,,Y,,,,,,,,,,,,,,,,,SHEET,1.0,1320.0,762,,0,,3
,G,,,,,,,,,,,,,,,,,,,,COIL,2.5,610.0,0,,600,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,0.8,610.0,4880,,0,,2
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.6,520.0,762,,0,,3
,G,,,,,,,,,,,,,,,,Y,,,,COIL,0.8,50.0,0,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.3,1320.0,4880,Y,0,,3
,G,,,,Y,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
P,,,,,,,,,,,,,,,,,,,,,SHEET,2.0,610.0,762,,0,,2
,,,,,,,,,,,,,,Y,,,,,,,SHEET,0.5,609.9,3000,,0,,5
,G,,,,,,,,,,,,,,,,,,,,COIL,0.7,610.0,0,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,SHEET,1.0,610.0,4880,,0,,3
,E,,,Y,,,,,,,,,,,,,,,,,COIL,1.601,1320.0,0,,0,,3
,E,,,,,,,,,,Y,,,,,,,,,,SHEET,0.301,610.0,762,,0,,3
,,,,,,,,,,,,,,,,,,,,,SHEET,1.2,609.9,612,,0,,2
,,,,,,,Y,,,,,,,,,,,,,,SHEET,0.8,1500.0,4170,,0,,2
,D,,,,,B,,,,,,,,,,,,,,,SHEET,0.7,1300.0,762,,0,,3
,E,,,,,,,,,,,,,,,,Y,,,,COIL,1.201,50.0,0,,0,,3
,F,,,,,,,,,,,,,,,,,,,,SHEET,0.75,610.0,4880,,0,,3
,E,,,,,,,,,,,,,,,,,,,,SHEET,0.7,374.9,762,,0,,3
